,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
111,M&amp;M,EQ,2017-10-24,1367.05,1360.55,1365.9,1346.95,1354.0,1350.65,1354.56,390953,529571164.6,29196,214487,54.86,2017,10,-1.2,Negative
112,M&amp;M,EQ,2017-10-25,1350.65,1354.0,1373.6,1348.95,1371.8,1364.7,1362.15,664152,904677786.45,36269,445599,67.09,2017,10,1.04,Positive
113,M&amp;M,EQ,2017-10-26,1364.7,1374.45,1380.7,1364.5,1373.5,1372.95,1373.94,1652089,2269863674.95,69948,1296615,78.48,2017,10,0.6,Slight positive
114,M&amp;M,EQ,2017-10-27,1372.95,1372.95,1390.7,1371.55,1380.75,1387.7,1383.54,774542,1071608867.7,32137,472146,60.96,2017,10,1.07,Positive
115,M&amp;M,EQ,2017-10-30,1387.7,1388.0,1392.65,1370.05,1372.1,1374.75,1379.19,563034,776528433.55,28872,367173,65.21,2017,10,-0.93,Slight negative
116,M&amp;M,EQ,2017-10-31,1374.75,1378.0,1378.0,1342.1,1346.0,1344.8,1352.32,799728,1081488266.75,37278,521272,65.18,2017,10,-2.18,Negative
117,M&amp;M,EQ,2017-11-01,1344.8,1347.25,1363.2,1336.0,1352.8,1350.75,1349.99,1965358,2653212399.35,59092,1330675,67.71,2017,11,0.44,Slight
118,M&amp;M,EQ,2017-11-02,1350.75,1343.0,1349.4,1331.05,1336.0,1335.35,1335.93,870329,1162695211.2,24893,674288,77.48,2017,11,-1.14,Negative
119,M&amp;M,EQ,2017-11-03,1335.35,1339.0,1342.95,1320.1,1332.2,1330.75,1329.04,1084381,1441184912.9,25495,769630,70.97,2017,11,-0.34,Slight
120,M&amp;M,EQ,2017-11-06,1330.75,1347.85,1377.7,1343.3,1370.5,1366.15,1363.74,2575346,3512101879.9,90250,1684041,65.39,2017,11,2.66,Positive
121,M&amp;M,EQ,2017-11-07,1366.15,1380.0,1382.0,1348.0,1353.8,1353.75,1369.2,2213662,3030937751.0,31165,1683864,76.07,2017,11,-0.91,Slight negative
122,M&amp;M,EQ,2017-11-08,1353.75,1361.0,1375.0,1354.0,1373.95,1367.0,1367.72,685509,937585053.35,42629,446174,65.09,2017,11,0.98,Slight positive
123,M&amp;M,EQ,2017-11-09,1367.0,1373.0,1380.05,1340.0,1360.05,1361.3,1358.06,484257,657651814.2,34443,241422,49.85,2017,11,-0.42,Slight
124,M&amp;M,EQ,2017-11-10,1361.3,1362.1,1412.15,1347.2,1395.0,1392.95,1384.33,2969900,4111328588.75,77163,972493,32.74,2017,11,2.32,Positive
125,M&amp;M,EQ,2017-11-13,1392.95,1408.0,1431.75,1408.0,1411.0,1411.2,1421.09,3238115,4601643311.35,109683,2116416,65.36,2017,11,1.31,Positive
126,M&amp;M,EQ,2017-11-14,1411.2,1419.0,1438.2,1415.05,1424.9,1429.6,1426.53,1796055,2562124517.8,74649,1281511,71.35,2017,11,1.3,Positive
127,M&amp;M,EQ,2017-11-15,1429.6,1429.0,1429.0,1407.0,1416.05,1415.25,1414.29,997036,1410097226.55,39787,610450,61.23,2017,11,-1.0,Slight negative
128,M&amp;M,EQ,2017-11-16,1415.25,1415.05,1426.0,1408.0,1414.05,1413.95,1417.43,872446,1236627806.3,21237,484207,55.5,2017,11,-0.09,Slight
129,M&amp;M,EQ,2017-11-17,1413.95,1425.0,1425.0,1412.0,1413.95,1416.75,1420.39,1448440,2057346250.7,32485,1196400,82.6,2017,11,0.2,Slight
130,M&amp;M,EQ,2017-11-20,1416.75,1419.75,1420.05,1400.1,1404.9,1408.0,1406.64,1264801,1779123542.45,59511,1004920,79.45,2017,11,-0.62,Slight negative
131,M&amp;M,EQ,2017-11-21,1408.0,1420.0,1422.0,1408.2,1415.0,1416.0,1415.99,853763,1208919055.1,31579,589156,69.01,2017,11,0.57,Slight positive
132,M&amp;M,EQ,2017-11-22,1416.0,1424.0,1441.8,1419.6,1432.5,1429.5,1433.89,1439617,2064259578.25,62309,899704,62.5,2017,11,0.95,Slight positive
133,M&amp;M,EQ,2017-11-23,1429.5,1434.4,1434.4,1412.55,1420.0,1418.65,1422.43,490011,697005384.65,21098,281397,57.43,2017,11,-0.76,Slight negative
134,M&amp;M,EQ,2017-11-24,1418.65,1425.0,1439.9,1420.05,1435.35,1434.1,1433.31,966558,1385379918.5,24730,595485,61.61,2017,11,1.09,Positive
135,M&amp;M,EQ,2017-11-27,1434.1,1435.0,1444.0,1425.05,1431.9,1431.0,1430.26,867582,1240868592.0,26757,587919,67.77,2017,11,-0.22,Slight
136,M&amp;M,EQ,2017-11-28,1431.0,1432.65,1441.45,1426.8,1436.8,1435.0,1434.43,743580,1066614994.05,28246,527833,70.99,2017,11,0.28,Slight
137,M&amp;M,EQ,2017-11-29,1435.0,1438.95,1443.1,1430.0,1431.0,1433.4,1434.48,691787,992357850.3,34587,469904,67.93,2017,11,-0.11,Slight
138,M&amp;M,EQ,2017-11-30,1433.4,1430.0,1430.0,1400.55,1407.1,1406.55,1409.45,2683675,3782502344.85,96875,1882881,70.16,2017,11,-1.87,Negative
139,M&amp;M,EQ,2017-12-01,1406.55,1414.0,1426.95,1406.0,1409.0,1409.4,1415.77,1077343,1525266408.7,30037,573714,53.25,2017,12,0.2,Slight
140,M&amp;M,EQ,2017-12-04,1409.4,1420.0,1420.0,1392.75,1400.5,1401.0,1400.7,1462814,2048958363.15,39083,1098744,75.11,2017,12,-0.6,Slight negative
141,M&amp;M,EQ,2017-12-05,1401.0,1400.0,1409.35,1383.0,1387.8,1388.2,1395.18,1299621,1813207657.1,42554,1060452,81.6,2017,12,-0.91,Slight negative
142,M&amp;M,EQ,2017-12-06,1388.2,1387.0,1392.4,1363.45,1368.7,1367.45,1374.94,1184822,1629058476.2,60137,889587,75.08,2017,12,-1.49,Negative
143,M&amp;M,EQ,2017-12-07,1367.45,1376.8,1382.5,1368.1,1380.0,1379.55,1375.48,1556860,2141433167.1,47232,1246870,80.09,2017,12,0.88,Slight positive
